tiempo,salida,entrada
105.9,0.1883,10
106,0.0607,10
106.1,-0.0382,10
106.2,0.0569,10
106.3,-0.0231,10
106.4,0.0235,10
106.5,0.1097,10
106.6,0.0224,10
106.7,0.1057,10
106.8,0.153,10
106.9,0.1348,10
107,0.109,10
107.1,0.1418,10
107.2,0.0553,10
107.3,-0.0676,10
107.4,0.0896,10
107.5,0.1165,10
107.6,0.0279,10
107.7,0.0976,10
107.8,-0.1323,10
107.9,0.1014,10
108,-0.0501,10
108.1,0.0464,10
108.2,0.0427,10
108.3,0.0352,10
108.4,-0.0757,10
108.5,-0.0281,10
108.6,0.0328,10
108.7,0.0526,10
108.8,0.1339,10
108.9,0.0142,10
109,-0.0292,10
109.1,0.0907,10
109.2,-0.1456,10
109.3,0.099,10
109.4,0.0717,10
109.5,-0.0247,10
109.6,0.0685,10
109.7,0.1613,10
109.8,-0.1159,10
109.9,0.1894,10
110,0.0838,10
110.1,0.0627,10
110.2,0.1294,10
110.3,0.0283,10
110.4,-0.0902,10
110.5,0.0738,10
110.6,0.1071,10
110.7,-0.1475,10
110.8,0.0714,10
110.9,0.0586,10
111,0.0641,10
111.1,-0.075,10
111.2,0.22,10
111.3,-0.0202,10
111.4,0.1293,10
111.5,-0.1619,10
111.6,0.1091,10
111.7,0.187,10
111.8,-0.0259,10
111.9,-0.0582,10
112,-0.1974,10
112.1,0.1837,10
112.2,0.0631,10
112.3,0.0395,10
112.4,-0.035,10
112.5,-0.0491,10
112.6,0.2584,10
112.7,0.0885,10
112.8,0.109,10
112.9,0.1379,10
113,-0.0966,10
113.1,0.0931,10
113.2,-0.0978,10
113.3,-0.1568,10
113.4,0.095,10
113.5,-0.0851,10
113.6,0.1885,10
113.7,0.1629,10
113.8,0.132,10
113.9,0.1161,10
114,0.2217,10
114.1,0.1402,10
114.2,0.1065,10
114.3,0.2139,10
114.4,0.2434,10
114.5,-0.0296,10
114.6,0.1695,10
114.7,0.0866,10
114.8,0.16,10
114.9,-0.0337,10
115,-0.1,10
115.1,-0.0351,10
115.2,-0.1629,10
115.3,0.0221,10
115.4,0.1133,10
115.5,-0.2422,10
115.6,0.1715,10
115.7,0.0325,10
115.8,0.065,10
115.9,-0.0327,10
116,0.1235,10
116.1,-0.1312,10
116.2,0.1379,10
116.3,0.0622,10
116.4,0.0837,10
116.5,0.1492,10
116.6,-0.017,10
116.7,0.0948,10
116.8,0.0858,10
116.9,0.0113,10
117,0.0705,10
117.1,0.1642,10
117.2,-0.1084,10
117.3,0.0915,10
117.4,-0.1788,10
117.5,-0.0776,10
117.6,0.2072,10
117.7,0.0452,10
117.8,-0.0279,10
117.9,-0.0716,10
118,-0.0692,10
118.1,-0.0119,10
118.2,-0.1506,10
118.3,0.1597,10
118.4,-0.0328,10
118.5,0.0156,10
118.6,0.0542,10
118.7,0.0974,10
118.8,0.002,10
118.9,0.1454,10
119,-0.0858,10
119.1,0.2358,10
119.2,-0.006,10
119.3,-0.0867,10
119.4,0.087,10
119.5,0.0079,10
119.6,0.0034,10
119.7,-0.0538,10
119.8,-0.0551,10
119.9,0.0168,10
120,0.0549,10
120.1,0.0788,10
120.2,0.0105,10
120.3,0.1053,10
120.4,0.0011,10
120.5,0.0683,10
120.6,-0.0481,10
120.7,-0.0476,10
120.8,-0.0068,10
120.9,-0.0608,10
121,-0.1106,10
121.1,0.2111,10
121.2,0.1032,10
121.3,0.2254,10
121.4,-0.2074,10
121.5,0.1048,10
121.6,0.0183,10
121.7,0.2211,10
121.8,0.0958,10
121.9,0.2037,10
122,0.1124,10
122.1,0.0913,10
122.2,0.2747,10
122.3,0.0459,10
122.4,-0.0681,10
122.5,0.0129,10
122.6,0.0449,10
122.7,0.0219,10
122.8,0.0607,10
122.9,0.1735,10
123,0.0794,10
123.1,0.2097,10
123.2,0.1829,10
123.3,-0.0296,10
123.4,-0.0029,10
123.5,0.223,10
123.6,0.0199,10
123.7,0.0954,10
123.8,0.0117,10
123.9,0.0818,10
124,-0.0254,10
124.1,-0.1076,10
124.2,0.0665,10
124.3,-0.034,10
124.4,0.0497,10
124.5,-0.0543,10
124.6,0.014,10
124.7,0.13,10
124.8,-0.0824,10
124.9,0.0702,10
125,-0.0571,10
125.1,0.1287,10
125.2,-0.0155,10
